__filename__,is_fake,review
op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_hilton_1.txt,FAKE.DECEPTIVE,stayed day night normally easy going experience awful taking time actually write stay arrived clear carpet saw although bathroom superficial indicator housekeeping recently cleaned paper band across paper cap drinking clear actual cleaning took spot toilet seat kid remnant know people worked many year hotel industry always warned lazy housekeeping make thing clean fact make effort keep thing called downstairs sent chambermaid hour found room hotel outside cavernous awful echo lobby area created rarely eager leave place got washed clothes whether worn skeeviness favor stay clean
op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_hilton_10.txt,FAKE.DECEPTIVE,hotel located mile train station quite hike traveling luggage seem cash guest arrive private car charging exorbitant room feature either double king sized queen bed want little extra leg room price jump room kind view pay healthy
op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_hilton_11.txt,FAKE.DECEPTIVE,made reservation believing going staying classy hotel many stay went downhill moment checked one clerk front several guest already waiting ahead finally got checked located discovered neither room key worked make way back front finally made appeared nice enough went use bathroom found toilet manager moved new complain still finally able relax rest evening looking forward sleeping next front desk called wake call needless overall experience hotel left much desired choose accommodation next trip
op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_hilton_12.txt,FAKE.DECEPTIVE,people think think know wish half upon informed incompetent staff lost reservation auspicious find another new room view broadside adjacent willing let want following day got little harder ignore minor problem making undeserving luxury noisy rude state bathroom towel anything go upon doubt sheet changed even next time ignore hype stay somewhere service possibly
op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_hilton_13.txt,FAKE.DECEPTIVE,husband recently stayed stayed horrible front desk clerk phone sounded like personal call even acknowledge u least five got room went lay bed noticed black hair paranoid hotel pulled back sheet moved pillow around noticed several called new sheet said would send right actually took nearly second night decided try irish pub hotel called kitty husband love pub pie watery flavor server seemed annoyed complained offer taken great trip definitely highlight rude dirty room bad spend money elsewhere
op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_hilton_14.txt,FAKE.DECEPTIVE,wife booked room three weekend downtown hotel well known brand knew going pay little additional price expecting get quality expecting minutia case hilton reserved room king size available stuck queen size get reduced price made reservation expected accommodated change room key room key used supposedly lost front desk told go find key come back stair get new get back highly really need look key told end stay charge knew always check two week later checked credit card additional two hundred dollar charge call argue twenty minute took suffice say staying
op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_hilton_15.txt,FAKE.DECEPTIVE,hotel rated four diamond one would think would almost like staying palace royal thing hotel however royal known moment walked wife going become bigger headache first soon arrived check hotel clerk older nineteen red flag started going clerk extremely rude acting like chore even getting texting cell bad clerk pretty much ignored blatantly staring even wearing anything could considered skimpy cold wearing turtle neck sweater large fur lined diverting atention several time finally got room surprise learned one help u luggage clerk said managed easy finally got third floor suite reserved month looked forward resting long mention disgust already couple supposed room bed making took almost half hour couple front wife get straightened apparently night clerk bother following policy taken reservation computer give friend leaving printed card day could described finally given another room next floor thankful got wife went use bathroom dropped luggage hearing clinking sound bent look one bag could hit see empty beer bottle sticking call back give clerk piece mind heard wife cry wall bathroom several roach crawling around noticed something else sink almost made u leave sink plain used far less thrilled stomred back downstairs demanded money desk manager returned ever went talked u taking another free charge make room thankfully clean bug trash disgusting item laying despite lot smaller promised view room decided make wife went get cleaned long trip pulled laptop use called high speed internet even bothered used dial went least three time fast speed quick call desk informed person responsible internet gone day nothing could done instead worrying went get something eat onsite dinning yet met rude people either stared chest forgot half arguing seemed like forever getting found found even bother trying anything final straw got thing found another know would hire bunch rude employee barely high school clean know hotel deserve four diamond unless place shut way know run decent
op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_hilton_16.txt,FAKE.DECEPTIVE,high hope sad say outrageously expensive two people one expect pay park offer free instead pay get internet wait pm check though flight rent car airport hotel offer transportation hotel bar doubt stay
op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_hilton_17.txt,FAKE.DECEPTIVE,booked room two night stay upon arrival reservation could even provided hotel confirmation still another reservation shown space available settled room night long bad odor coming apparently cleaning solution used tainted needless poor experience one hesitant ever stay hotel let alone hilton please consider someplace else hilton
op_spam_v1.4/negative_polarity/deceptive_from_MTurk/fold1/d_hilton_18.txt,FAKE.DECEPTIVE,stayed hotel first absolutely horrifying first staff incredibly could lived person would get cell phone checking wanting pull hair room also smelled like sex cigar smoke bad convinced politician checked using cheap also looked dried snot shower mark never stay
